period,subba,subba-name,parent,parent-name,value,value-units
2024-08-23T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1917,megawatthours
2024-08-23T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1220,megawatthours
2024-08-23T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1714,megawatthours
2024-08-23T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,619,megawatthours
2024-08-23T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,889,megawatthours
2024-08-23T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1426,megawatthours
2024-08-23T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1186,megawatthours
2024-08-23T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,316,megawatthours
2024-08-23T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,701,megawatthours
2024-08-23T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5971,megawatthours
2024-08-23T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2878,megawatthours
2024-08-22T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1891,megawatthours
2024-08-22T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1175,megawatthours
2024-08-22T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1665,megawatthours
2024-08-22T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,616,megawatthours
2024-08-22T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,836,megawatthours
2024-08-22T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1415,megawatthours
2024-08-22T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1172,megawatthours
2024-08-22T23,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,316,megawatthours
2024-08-22T23,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,719,megawatthours
2024-08-22T23,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6162,megawatthours
2024-08-22T23,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2958,megawatthours
2024-08-22T22,ZONA,West - NYIS,NYIS,New York Independent System Operator,1866,megawatthours
2024-08-22T22,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1085,megawatthours
2024-08-22T22,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1525,megawatthours
2024-08-22T22,ZOND,North - NYIS,NYIS,New York Independent System Operator,617,megawatthours
2024-08-22T22,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,753,megawatthours
2024-08-22T22,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1353,megawatthours
2024-08-22T22,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1112,megawatthours
2024-08-22T22,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,318,megawatthours
2024-08-22T22,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,726,megawatthours
2024-08-22T22,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6345,megawatthours
2024-08-22T22,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2921,megawatthours
2024-08-22T21,ZONA,West - NYIS,NYIS,New York Independent System Operator,1826,megawatthours
2024-08-22T21,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1022,megawatthours
2024-08-22T21,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1445,megawatthours
2024-08-22T21,ZOND,North - NYIS,NYIS,New York Independent System Operator,610,megawatthours
2024-08-22T21,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,655,megawatthours
2024-08-22T21,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1243,megawatthours
2024-08-22T21,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1091,megawatthours
2024-08-22T21,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,315,megawatthours
2024-08-22T21,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,711,megawatthours
2024-08-22T21,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6330,megawatthours
2024-08-22T21,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2783,megawatthours
2024-08-22T20,ZONA,West - NYIS,NYIS,New York Independent System Operator,1780,megawatthours
2024-08-22T20,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,995,megawatthours
2024-08-22T20,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1420,megawatthours
2024-08-22T20,ZOND,North - NYIS,NYIS,New York Independent System Operator,608,megawatthours
2024-08-22T20,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,615,megawatthours
2024-08-22T20,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1188,megawatthours
2024-08-22T20,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1020,megawatthours
2024-08-22T20,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,317,megawatthours
2024-08-22T20,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,695,megawatthours
2024-08-22T20,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6322,megawatthours
2024-08-22T20,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2772,megawatthours
2024-08-22T19,ZONA,West - NYIS,NYIS,New York Independent System Operator,1764,megawatthours
2024-08-22T19,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,965,megawatthours
2024-08-22T19,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1409,megawatthours
